IM regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), SU regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), REG regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), time of progression (week), % resistant, 100 g tumor at (week),,
248.5,0.44381353,513.5,0.77401,550.5,0.77401,513.5,1.35409258,572,1.00E-07,988,1.80E-07,990.5,0,,,
248.5,0.31558883,522.5,0.54681384,559.5,0.54681384,522.5,0.95043765,580.5,0.95043765,522.5,1.65233592,602.5,0.978893196,856,,
249,0.10925596,553.5,0.18962029,589.5,0.18962029,553.5,0.32813749,610,0.05453811,681.5,0.09480176,718,0.929113341,1051.5,,
248.5,0.0224473,597,0.03913611,632.5,0.03913611,597,0.0682255,653,0.0682255,597,0.11853455,672,0.994558886,1006,,
248.5,0.54480274,507.5,0.94385188,544.5,0.94290212,545,1.63410045,582.5,0.90869684,619,1.57308563,656,0.415598673,891,,
248.5,0.07362794,563,0.12776167,600,0.12776167,563,0.22313651,620.5,0.1991546,635.5,0.34570781,672,0.930335765,969,,
248.5,0.34959946,520,0.60848127,557,,,,,,,,,,,,
248.5,0.02389303,596,0.04152386,631.5,0.04152386,596,0.07249305,652,0.07249305,596,0.12562937,671,0.994339938,995,,
248.5,0.13837427,546,0.24045528,582.5,0.24045528,546,0.41903852,603,0.41903852,546,0.73255922,634,0.935579597,875,,
248.5,0.4699178,511.5,0.81997655,549,0.81997655,511.5,1.4340193,570.5,1.4340193,511.5,2.5031941,591.5,0.995699127,831.5,,
248.5,0.18426437,538,0.3192126,574.5,0.14136651,617.5,0.24460489,653.5,0.24460489,617.5,0.42777186,690,0.821123016,967.5,,
